gvkey,fyear,datadate,at,ceq,csho,prcc_f,dlc,dltt,dvt,dvc,oibdp,sale,ppent,xad,xrd,fyr,exchg,permno,linktype,linkprim,linkdt,linkenddt,hexcd,mve,market_value_of_assets,market_debt_ratio,ln_market_value_of_assets,profits_to_sales,tangible_assets,market_to_book_assets,advertising_to_sales,rd_to_sales,rd_positive,firm_age,ln_firm_age,prev_year_dvt,prev_year_dvc
187575,2020,2021-01-31,505.473,160.622,29.783,9.8,54.503,211.292,0.0,0.0,16.97,531.329,280.52,20.5,0.0,1,11.0,13399.0,LC,P,2012-05-04,,1.0,291.87340000000006,636.7244000000001,0.41744120376099925,6.460585755885269,0.0797723235911513,0.6033678472120592,1.1697561466412996,0.0256741482318747,0.0,0.0,8,2.0794415416798357,29.677,29.677
188255,2014,2014-12-31,4052.9,2259.5,158.14,45.27,26.3,643.7,79.4,79.4,497.1,4013.6,539.8,200.4,46.1,12,11.0,12981.0,LC,P,2011-10-04,,1.0,7158.9978,8952.3978,0.07484028468886848,9.121009317522997,0.11396545918121904,0.12790502860151742,2.188896292573179,0.04938182517919854,0.013373743204887672,1.0,3,1.0986122886681098,69.9,69.9
188255,2015,2015-12-31,4878.6,2450.9,159.906,55.5,0.8,1171.6,92.9,92.9,651.0,4579.4,627.9,195.4,48.7,12,11.0,12981.0,LC,P,2011-10-04,,1.0,8874.783,11302.483,0.10372941945588415,9.099676686001786,0.12385389675104645,0.13318858101606257,2.208886920476696,0.04993023719354196,0.011485947777556309,1.0,4,1.3862943611198906,79.4,79.4
188255,2016,2016-12-31,5128.5,2361.5,153.412,53.46,0.0,1431.1,100.2,100.2,778.6,4984.9,662.5,199.1,53.1,12,11.0,12981.0,LC,P,2011-10-04,,1.0,8201.40552,10968.40552,0.13047475290647348,9.332777715075615,0.14215836135738308,0.12870495633993356,2.3167472225638504,0.04266934532908242,0.010634580949469364,1.0,5,1.6094379124341003,92.9,92.9
188255,2017,2017-12-31,5511.4,2599.5,151.907,68.44,0.0,1507.6,113.0,113.0,856.1,5283.3,740.0,233.2,50.7,12,11.0,12981.0,LC,P,2011-10-04,,1.0,10396.515080000001,13308.41508,0.11328170867360712,9.302774193571064,0.15619169893077095,0.12918007214585162,2.138716100224237,0.0399406206744368,0.010652169552047184,1.0,6,1.791759469228055,100.2,100.2
188255,2018,2018-12-31,5964.6,2178.2,140.499,37.99,525.0,1809.0,115.7,115.7,854.3,5485.1,813.4,243.6,50.3,12,11.0,12981.0,LC,P,2011-10-04,,1.0,5337.55701,9123.957010000002,0.2558100610778743,9.496151826913458,0.16203887721689095,0.13426715535072759,2.414706804078819,0.04413907974182802,0.009596275055363125,1.0,7,1.9459101490553132,113.0,113.0
188255,2019,2019-12-31,6291.3,2426.6,139.555,65.34,432.8,1924.4,125.6,125.6,914.8,5764.6,989.8,251.7,48.2,12,11.0,12981.0,LC,P,2011-10-04,,1.0,9118.523700000002,12983.223700000002,0.18155737392093152,9.118658871643946,0.1557492115002461,0.13637125708345907,1.5296846410488552,0.04441122313175694,0.009170297715629614,1.0,8,2.0794415416798357,115.7,115.7
188255,2020,2020-12-31,7358.7,2775.5,138.66,85.72,38.5,2712.7,135.9,135.9,1012.1,6090.3,1087.6,259.4,49.9,12,11.0,12981.0,LC,P,2011-10-04,,1.0,11885.9352,16469.1352,0.1670518801740118,9.471413318435955,0.1586927106824411,0.15732837410392128,2.0636790011603328,0.04366304687228949,0.008361378066127745,1.0,9,2.1972245773362196,125.6,125.6
189517,2015,2015-12-31,880.87,205.968,33.122,6.61,0.0,556.267,0.0,0.0,146.045,652.6,48.055,80.526,0.0,12,11.0,14960.0,LC,P,2014-11-13,,1.0,218.93642,893.83842,0.6223350748337715,7.201016508950468,0.2886259827594936,0.04470551712253534,1.7637441347440204,0.0926099943568891,0.0,0.0,1,0.0,122.384,122.384
190963,2013,2013-12-31,4914.115,897.792,44.918,21.4,99.547,0.0,10.234,10.234,80.14,215.652,115.219,5.28,0.0,12,11.0,13579.0,LC,P,2012-09-21,,1.0,961.2452,4977.5682,0.019999123266658606,8.581478719928873,0.36537155177506053,0.022443365321973288,0.9854381692086623,0.020453068698682735,0.0,0.0,1,0.0,2.664,2.664
